Order,Type,ID,Block,AccInc,AccTemp,Stage,Mass,PerfRound,PrevTemp,PerfTemp,PerfInc,TimeStart,O2Start,AvgO2Start,TempStart,TimeStop,O2Stop,TempStop,Time,O2,O2/Time,O2/Time/Mass,corO2/Time/Mass
373,tad,T63,2,8,13,26,0.656,3,25,19,,3:48,,9.15,,4:39,8.99,17.6,51,0.16,0.003137255,0.004782401,0.002725969
374,control,C22,2,NA,NA,NA,NA,3,25,19,,3:43,9.19,9.15,18.1,4:35,9.1,17.5,52,0.05,0.000961538,,
375,control,C31,2,NA,NA,NA,NA,3,25,19,,3:46,9.13,9.15,18.3,4:38,9.09,17.8,52,0.06,0.001153846,,
376,control,C63,2,NA,NA,NA,NA,3,25,19,,3:48,9.13,9.15,17.9,4:40,9.09,17.5,52,0.06,0.001153846,,
377,tad,T20,2,3,22,30,1.14,3,28,22,P3,4:05,,8.873333333,,4:55,8.64,20.7,50,0.233333333,0.004666667,0.004093567,0.002333333
378,tad,T30,2,4,28,26,0.567,3,28,22,P3,4:08,,8.873333333,,4:58,8.78,21,50,0.093333333,0.001866667,0.003292181,0.001876543
379,tad,T62,2,8,13,27,1.161,3,28,22,P3,4:11,,8.873333333,,5:01,8.58,21,50,0.293333333,0.005866667,0.005053115,0.002880276
380,control,C20,2,NA,NA,NA,NA,3,28,22,P3,4:06,8.87,8.873333333,21.2,4:57,8.81,20.7,51,0.063333333,0.00124183,,
381,control,C30,2,NA,NA,NA,NA,3,28,22,P3,4:09,8.87,8.873333333,21.1,5:00,8.82,21,51,0.053333333,0.001045752,,
382,control,C62,2,NA,NA,NA,NA,3,28,22,P3,4:12,8.88,8.873333333,21.1,5:02,8.82,20.8,50,0.053333333,0.001066667,,
383,tad,T39,3,5,22,27,0.469,3,19,25,P33,6:05,,8.08,,6:56,7.91,24.4,51,0.17,0.003333333,0.007107321,0.004051173
384,tad,T42,3,6,28,28,0.897,3,19,25,P33,6:08,,8.08,,6:59,7.82,24.9,51,0.26,0.005098039,0.005683433,0.003239557
385,tad,T66,3,9,13,26,0.834,3,19,25,P33,6:10,,8.08,,7:01,7.84,24.9,51,0.24,0.004705882,0.005642545,0.003216251
386,control,C39,3,NA,NA,NA,NA,3,19,25,P33,6:06,8.1,8.08,24.6,6:58,8.02,24.1,52,0.06,0.001153846,,
387,control,C42,3,NA,NA,NA,NA,3,19,25,P33,6:08,8.08,8.08,24.7,7:00,8.01,24.7,52,0.07,0.001346154,,
388,control,C66,3,NA,NA,NA,NA,3,19,25,P33,6:12,8.06,8.08,24.8,7:02,7.99,25.1,50,0.09,0.0018,,
389,tad,T37,3,5,22,30,0.872,3,22,28,,6:22,,7.553333333,,7:11,7.15,27.4,49,0.403333333,0.008231293,0.009439556,0.005380547
390,tad,T47,3,6,28,27,0.643,3,22,28,,6:25,,7.553333333,,7:15,7.31,27.9,50,0.243333333,0.004866667,0.007568688,0.004314152
391,tad,T67,3,9,13,26,0.602,3,22,28,,6:27,,7.553333333,,7:18,7.31,27.7,51,0.243333333,0.004771242,0.007925651,0.004517621
392,control,C37,3,NA,NA,NA,NA,3,22,28,,6:22,7.58,7.553333333,27.9,7:14,7.42,27.8,52,0.133333333,0.002564103,,
393,control,C47,3,NA,NA,NA,NA,3,22,28,,6:25,7.54,7.553333333,27.6,7:16,7.46,27.9,51,0.093333333,0.001830065,,
394,control,C67,3,NA,NA,NA,NA,3,22,28,,6:28,7.54,7.553333333,27.4,7:19,7.47,27.8,51,0.083333333,0.001633987,,
395,tad,T40,3,5,22,27,0.771,3,25,31,,6:30,,6.9,,7:20,6.54,29.1,50,0.36,0.0072,0.009338521,0.005322957
396,tad,T44,3,6,28,29,0.823,3,25,31,,6:33,,6.9,,7:23,6.52,29.7,50,0.38,0.0076,0.009234508,0.00526367
397,tad,T70,3,9,13,27,0.393,3,25,31,,6:36,,6.9,,7:26,6.61,30.1,50,0.29,0.0058,0.01475827,0.008412214
398,control,C40,3,NA,NA,NA,NA,3,25,31,,6:31,6.91,6.9,30.1,7:22,6.76,28.9,51,0.14,0.002745098,,
399,control,C44,3,NA,NA,NA,NA,3,25,31,,6:34,6.9,6.9,30,7:25,6.76,29.6,51,0.14,0.002745098,,
400,control,C70,3,NA,NA,NA,NA,3,25,31,,6:37,6.89,6.9,30,7:27,6.76,29.4,50,0.14,0.0028,,
401,tad,T35,3,5,22,27,0.447,3,28,34,,4:46,,6.726666667,,5:42,6.52,30.6,56,0.206666667,0.003690476,0.008256099,0.004705976
402,tad,T46,3,6,28,28,0.956,3,28,34,,4:49,,6.726666667,,5:46,6.36,31.7,57,0.366666667,0.006432749,0.006728816,0.003835425
403,tad,T69,3,9,13,26,1.073,3,28,34,,4:52,,6.726666667,,5:49,6.25,31.8,57,0.476666667,0.008362573,0.007793638,0.004442374
404,control,C35,3,NA,NA,NA,NA,3,28,34,,4:46,6.76,6.726666667,33.1,5:44,6.61,30.8,58,0.116666667,0.002011494,,
405,control,C46,3,NA,NA,NA,NA,3,28,34,,4:50,6.72,6.726666667,33.3,5:47,6.61,31.6,57,0.116666667,0.002046784,,
406,control,C69,3,NA,NA,NA,NA,3,28,34,,4:53,6.7,6.726666667,33.6,5:51,6.56,31.9,58,0.166666667,0.002873563,,
407,tad,T33,3,5,22,30,0.892,3,19,13,,4:29,,10.51333333,,5:26,10.33,12.1,57,0.183333333,0.003216374,0.003605801,0.002055307
408,tad,T45,3,6,28,26,0.52,3,19,13,,4:31,,10.51333333,,5:29,10.42,11.9,58,0.093333333,0.001609195,0.003094607,0.001763926
409,tad,T65,3,9,13,25,0.324,3,19,13,,4:34,,10.51333333,,5:31,10.43,11.9,57,0.083333333,0.001461988,0.00451231,0.002572017
410,control,C33,3,NA,NA,NA,NA,3,19,13,,4:30,10.51,10.51333333,11.7,5:28,10.46,12,58,0.053333333,0.00091954,,
411,control,C45,3,NA,NA,NA,NA,3,19,13,,4:32,10.51,10.51333333,11.7,5:30,10.46,12,58,0.053333333,0.00091954,,
412,control,C65,3,NA,NA,NA,NA,3,19,13,,4:34,10.52,10.51333333,11.6,5:32,10.47,11.9,58,0.043333333,0.000747126,,
413,tad,T36,3,5,22,28,1.08,3,22,16,P31,6:14,,9.34,,7:04,9.2,15.7,50,0.14,0.0028,0.002592593,0.001477778
414,tad,T43,3,6,28,28,0.595,3,22,16,P31,6:17,,9.34,,7:06,9.22,15.7,49,0.12,0.00244898,0.004115932,0.002346081
415,tad,T71,3,9,13,27,0.959,3,22,16,P31,6:19,,9.34,,7:09,9.17,15.6,50,0.17,0.0034,0.00354536,0.002020855
416,control,C36,3,NA,NA,NA,NA,3,22,16,P31,6:15,9.32,9.34,16.2,7:05,9.31,15.5,50,0.03,0.0006,,
417,control,C43,3,NA,NA,NA,NA,3,22,16,P31,6:17,9.35,9.34,16.2,7:07,9.3,15.6,50,0.04,0.0008,,
418,control,C71,3,NA,NA,NA,NA,3,22,16,P31,6:20,9.35,9.34,16.1,7:10,9.32,15.6,50,0.02,0.0004,,
419,tad,T38,3,5,22,27,0.74,3,25,19,,4:37,,9.01,,5:34,8.9,17.9,57,0.11,0.001929825,0.002607871,0.001486486
420,tad,T48,3,6,28,26,0.751,3,25,19,,4:40,,9.01,,5:37,8.86,17.9,57,0.15,0.002631579,0.0035041,0.001997337
421,tad,T68,3,9,13,26,0.464,3,25,19,,4:43,,9.01,,5:39,8.87,18.2,56,0.14,0.0025,0.005387931,0.003071121
422,control,C38,3,NA,NA,NA,NA,3,25,19,,4:37,9.05,9.01,18.4,5:35,8.96,17.7,58,0.05,0.000862069,,
423,control,C48,3,NA,NA,NA,NA,3,25,19,,4:41,9.01,9.01,18.2,5:38,8.95,18,57,0.06,0.001052632,,
424,control,C68,3,NA,NA,NA,NA,3,25,19,,4:44,8.97,9.01,18.7,5:40,8.93,18.3,56,0.08,0.001428571,,
425,tad,T34,3,5,22,27,0.49,3,28,22,P3,4:56,,8.57,,5:53,8.41,20.1,57,0.16,0.002807018,0.005728607,0.003265306
426,tad,T41,3,6,28,27,0.425,3,28,22,P3,4:58,,8.57,,5:55,8.41,20.9,57,0.16,0.002807018,0.006604747,0.003764706
427,control,C34,3,NA,NA,NA,NA,3,28,22,P3,4:57,8.55,8.57,21.4,5:54,8.51,19.8,57,0.06,0.001052632,,
428,control,C41,3,NA,NA,NA,NA,3,28,22,P3,4:59,8.58,8.57,21.2,5:57,8.52,20.8,58,0.05,0.000862069,,
429,control,C72,3,NA,NA,NA,NA,3,28,22,P3,5:00,8.58,8.57,21,5:58,8.5,22.1,58,0.07,0.001206897,,
