Order,Type,ID,Block,AccInc,AccTemp,Stage,Mass,PerfRound,PrevTemp,PerfTemp,PerfInc,TimeStart,O2Start,AvgO2Start,TempStart,TimeStop,O2Stop,TempStop,Time,O2,O2/Time,O2/Time/Mass,corO2/Time/Mass
264,tad,T33,3,5,22,30,0.892,2,25,19,P36,12:43,,9.04,,13:31,8.87,17.9,48,0.17,0.003541667,0.003970478,0.002263172
265,tad,T45,3,6,28,26,0.52,2,25,19,P36,12:46,,9.04,,13:34,8.98,18,48,0.06,0.00125,0.002403846,0.001370192
266,tad,T65,3,9,13,25,0.324,2,25,19,P36,12:48,,9.04,,13:36,8.92,18,48,0.12,0.0025,0.007716049,0.004398148
267,control,C33,3,NA,NA,NA,NA,2,25,19,P36,12:44,9.07,9.04,18.3,13:33,8.98,17.7,49,0.06,0.00122449,,
268,control,C45,3,NA,NA,NA,NA,2,25,19,P36,12:47,9.03,9.04,18.4,13:35,8.99,18.1,48,0.05,0.001041667,,
269,control,C65,3,NA,NA,NA,NA,2,25,19,P36,12:49,9.02,9.04,18.5,13:37,8.98,17.9,48,0.06,0.00125,,
270,tad,T36,3,5,22,28,1.08,2,28,22,,2:10,,8.466666667,,3:05,8.3,21,55,0.166666667,0.003030303,0.002805836,0.001599327
271,tad,T43,3,6,28,28,0.595,2,28,22,,2:13,,8.466666667,,3:07,8.27,21.5,54,0.196666667,0.003641975,0.006120967,0.003488951
272,tad,T71,3,9,13,27,0.959,2,28,22,,2:16,,8.466666667,,3:09,8.16,21.4,53,0.306666667,0.005786164,0.006033539,0.003439117
273,control,C36,3,NA,NA,NA,NA,2,28,22,,2:11,8.48,8.466666667,21.5,3:06,8.43,21,55,0.036666667,0.000666667,,
274,control,C43,3,NA,NA,NA,NA,2,28,22,,2:14,8.47,8.466666667,21.6,3:08,8.38,21.4,54,0.086666667,0.001604938,,
275,control,C71,3,NA,NA,NA,NA,2,28,22,,2:17,8.45,8.466666667,21.7,3:11,8.41,21.3,54,0.056666667,0.001049383,,
276,tad,T38,3,5,22,27,0.74,2,31,25,P33,12:52,,8.033333333,,13:38,7.85,23.5,46,0.183333333,0.003985507,0.005385821,0.003069918
277,tad,T48,3,6,28,26,0.751,2,31,25,P33,12:55,,8.033333333,,13:41,7.81,24.2,46,0.223333333,0.004855072,0.00646481,0.003684942
278,tad,T68,3,9,13,26,0.464,2,31,25,P33,12:58,,8.033333333,,13:44,7.84,25,46,0.193333333,0.004202899,0.009057971,0.005163043
279,control,C38,3,NA,NA,NA,NA,2,31,25,P33,12:53,8.02,8.033333333,23.9,13:39,7.96,23.6,46,0.073333333,0.001594203,,
280,control,C48,3,NA,NA,NA,NA,2,31,25,P33,12:56,8.05,8.033333333,23.9,13:42,7.96,24.1,46,0.073333333,0.001594203,,
281,control,C68,3,NA,NA,NA,NA,2,31,25,P33,12:59,8.03,8.033333333,24.3,13:45,7.95,24.5,46,0.083333333,0.001811594,,
282,tad,T34,3,5,22,27,0.49,2,34,28,P2,1:08,,7.636666667,,1:54,7.51,26,46,0.126666667,0.002753623,0.005619639,0.003203194
283,tad,T41,3,6,28,27,0.425,2,34,28,P2,1:11,,7.636666667,,1:56,7.47,27.1,45,0.166666667,0.003703704,0.008714597,0.00496732
284,control,C34,3,NA,NA,NA,NA,2,34,28,P2,1:09,7.65,7.636666667,27.1,1:55,7.6,25.8,46,0.036666667,0.000797101,,
285,control,C41,3,NA,NA,NA,NA,2,34,28,P2,1:12,7.63,7.636666667,27,1:58,7.57,27,46,0.066666667,0.001449275,,
286,control,C72,3,NA,NA,NA,NA,2,34,28,P2,1:13,7.63,7.636666667,26.7,1:59,7.57,26.7,46,0.066666667,0.001449275,,
287,tad,T2,1,1,22,30,1.047,3,19,25,P33,7:01,,7.89,,7:48,7.66,24.2,47,0.23,0.004893617,0.004673942,0.002664147
288,tad,T12,1,2,28,25,0.305,3,19,25,P33,7:04,,7.89,,7:50,7.76,24.8,46,0.13,0.002826087,0.009265859,0.00528154
289,tad,T54,1,7,13,25,0.285,3,19,25,P33,7:07,,7.89,,7:53,7.77,24.8,46,0.12,0.002608696,0.009153318,0.005217391
290,control,C2,1,NA,NA,NA,NA,3,19,25,P33,7:02,7.89,7.89,24.7,7:49,7.84,24.2,47,0.05,0.00106383,,
291,control,C12,1,NA,NA,NA,NA,3,19,25,P33,7:05,7.9,7.89,25.2,7:52,7.83,24.9,47,0.06,0.001276596,,
292,control,C54,1,NA,NA,NA,NA,3,19,25,P33,7:08,7.88,7.89,25.2,7:54,7.8,25,46,0.09,0.001956522,,
293,tad,T7,1,1,22,26,0.783,3,22,28,,8:03,,7.446666667,,8:51,7.33,27.4,48,0.116666667,0.002430556,0.003104158,0.00176937
294,tad,T11,1,2,28,26,0.36,3,22,28,,8:07,,7.446666667,,8:54,7.26,28.1,47,0.186666667,0.003971631,0.011032309,0.006288416
295,tad,T55,1,7,13,26,0.486,3,22,28,,8:09,,7.446666667,,8:57,7.23,28.1,48,0.216666667,0.004513889,0.009287837,0.005294067
296,control,C7,1,NA,NA,NA,NA,3,22,28,,8:04,7.48,7.446666667,28,8:53,7.4,27,49,0.046666667,0.000952381,,
297,control,C11,1,NA,NA,NA,NA,3,22,28,,8:07,7.45,7.446666667,28.4,8:56,7.36,28.2,49,0.086666667,0.001768707,,
298,control,C55,1,NA,NA,NA,NA,3,22,28,,8:10,7.41,7.446666667,28.6,8:58,7.33,28.2,48,0.116666667,0.002430556,,
299,tad,T5,1,1,22,26,0.621,3,25,31,,8:12,,6.96,,8:59,6.77,28.7,47,0.19,0.004042553,0.006509747,0.003710556
300,tad,T10,1,2,28,26,0.491,3,25,31,,8:15,,6.96,,9:02,6.77,28.8,47,0.19,0.004042553,0.008233306,0.004692984
301,tad,T52,1,7,13,26,0.987,3,25,31,,8:20,,6.96,,9:04,6.63,29.2,44,0.33,0.0075,0.007598784,0.004331307
302,control,C5,1,NA,NA,NA,NA,3,25,31,,8:13,6.96,6.96,29.2,9:00,6.87,28.2,47,0.09,0.001914894,,
303,control,C10,1,NA,NA,NA,NA,3,25,31,,8:18,6.96,6.96,29.2,9:03,6.88,28.7,45,0.08,0.001777778,,
304,control,C52,1,NA,NA,NA,NA,3,25,31,,8:21,6.96,6.96,29,9:05,6.87,28.8,44,0.09,0.002045455,,
305,tad,T8,1,1,22,27,1.185,3,28,34,,5:55,,6.793333333,,6:43,6.42,31.9,48,0.373333333,0.007777778,0.006563526,0.00374121
306,tad,T13,1,2,28,27,1.876,3,28,34,,5:58,,6.793333333,,6:47,6.45,33.4,49,0.343333333,0.007006803,0.003734969,0.002128932
307,tad,T56,1,7,13,27,1.122,3,28,34,,6:01,,6.793333333,,6:50,6.2,33.4,49,0.593333333,0.012108844,0.010792196,0.006151552
308,control,C8,1,NA,NA,NA,NA,3,28,34,,5:56,6.84,6.793333333,32.9,6:46,6.47,32,50,0.323333333,0.006466667,,
309,control,C13,1,NA,NA,NA,NA,3,28,34,,5:59,6.78,6.793333333,33.9,6:49,6.67,33,50,0.123333333,0.002466667,,
310,control,C56,1,NA,NA,NA,NA,3,28,34,,6:02,6.76,6.793333333,34.4,6:52,6.62,33.5,50,0.173333333,0.003466667,,
311,tad,T4,1,1,22,26,1.202,3,19,13,,5:37,,10.55333333,,6:27,10.42,11.8,50,0.133333333,0.002666667,0.002218525,0.001264559
312,tad,T9,1,2,28,34,0.97,3,19,13,,5:41,,10.55333333,,6:30,10.52,11.7,49,0.033333333,0.000680272,0.000701311,0.000399747
