Snail,Temperature,avgSpeed,avgSpeedMM
1,25,476.551,5.042867725
1,25,330.032,3.492402116
1,25,721.514,7.635068783
1,25,463.387,4.903566138
1,25,531.302,5.622243386
1,25,262.959,2.782634921
1,25,345.37,3.654708995
1,25,318.491,3.370275132
1,25,296.194,3.134328042
1,25,455.711,4.822338624
1,25,365.801,3.870910053
1,25,379.919,4.020306878
1,25,322.641,3.414190476
1,25,396.896,4.199957672
1,25,359.125,3.80026455
1,25,358.821,3.797047619
1,25,426.889,4.517343915
1,25,1054.32,11.1568254
1,25,478.262,5.060973545
1,25,399.053,4.222783069
1,25,482.63,5.107195767
1,25,487.287,5.15647619
1,25,373.328,3.950560847
1,25,271.201,2.869851852
1,25,325.742,3.447005291
1,28,505.491,5.349111111
1,28,385.094,4.075068783
1,28,436.913,4.623417989
1,28,316.611,3.350380952
1,28,265.16,2.805925926
1,28,515.927,5.459544974
1,28,342.232,3.621502646
1,28,349.057,3.693724868
1,28,385.622,4.080656085
1,28,238.89,2.527936508
1,28,439.883,4.654846561
1,28,298.121,3.154719577
1,28,517.402,5.475153439
1,28,396.995,4.201005291
1,28,230.712,2.441396825
1,28,405.842,4.294624339
1,28,411.698,4.356592593
1,28,398.905,4.221216931
1,28,485.08,5.133121693
1,28,340.201,3.600010582
1,28,435.889,4.612582011
1,28,460.661,4.874719577
1,28,576.821,6.103925926
1,28,388.903,4.115375661
1,28,503.576,5.328846561
1,28,402.585,4.26015873
1,28,231.63,2.451111111
1,28,333.71,3.531322751
1,28,482.061,5.101174603
1,28,426.461,4.512814815
1,28,461.775,4.886507937
1,28,492.794,5.214751323
1,28,590.325,6.246825397
1,28,414.446,4.385671958
1,28,329.566,3.487470899
1,28,437.101,4.625407407
1,28,591.465,6.258888889
1,28,455.158,4.816486772
1,28,373.319,3.950465608
1,28,379.18,4.012486772
1,28,348.415,3.686931217
1,28,497.797,5.267693122
1,28,495.7,5.245502646
1,28,385.448,4.078814815
1,28,321.69,3.404126984
1,28,307.604,3.255068783
1,28,125.103,1.32384127
1,28,409.946,4.33805291
1,28,459.394,4.861312169
1,28,444.587,4.704624339
1,28,250.146,2.647047619
1,28,375.984,3.978666667
1,28,375.768,3.976380952
1,28,431.475,4.565873016
1,31,104.154,1.10215873
1,31,197.213,2.086910053
1,31,207.477,2.19552381
1,31,185.068,1.958391534
1,31,301.077,3.186
1,31,132.939,1.406761905
1,31,304.65,3.223809524
1,31,440.79,4.664444444
1,31,446.203,4.721724868
1,31,344.696,3.64757672
1,31,277.178,2.933100529
1,31,334.017,3.534571429
1,31,156.248,1.653417989
1,31,330.493,3.497280423
1,31,126.075,1.334126984
1,31,335.498,3.550243386
1,31,437.893,4.63378836
1,31,246.677,2.610338624
1,31,424.774,4.494962963
1,31,335.796,3.553396825
1,31,224.103,2.371460317
1,31,362.413,3.835058201
1,31,444.466,4.703343915
1,31,375.188,3.970243386
1,31,219.818,2.326116402
1,31,332.947,3.523248677
1,31,380.045,4.021640212
1,31,400.516,4.23826455
1,31,176.244,1.865015873
1,31,258.647,2.737005291
1,31,243.075,2.572222222
1,31,158.09,1.672910053
1,31,328.297,3.474042328
1,31,288.073,3.048391534
1,31,231.95,2.454497354
1,31,405.514,4.291153439
2,13,168.014,1.777925926
2,13,184.004,1.947132275
2,13,175.963,1.862042328
2,13,188.364,1.993269841
2,13,222.225,2.351587302
2,13,179.347,1.897851852
2,13,151.157,1.599544974
2,13,76.619,0.810783069
2,13,78.132,0.826793651
2,13,156.244,1.653375661
2,13,193.285,2.045343915
2,13,168.173,1.779608466
2,13,208.851,2.210063492
2,13,197.027,2.084941799
2,13,176.64,1.869206349
2,13,191.948,2.031195767
2,13,226.702,2.398962963
2,13,208.817,2.209703704
2,13,184.831,1.955883598
2,13,201.494,2.13221164
2,13,157.44,1.666031746
2,13,115.232,1.219386243
2,13,68.734,0.727343915
2,13,193.476,2.047365079
2,13,169.341,1.791968254
2,13,115.172,1.218751323
2,13,223.64,2.366560847
2,13,175.467,1.856793651
2,13,164.347,1.739121693
2,13,200.017,2.116582011
2,13,201.577,2.133089947
2,13,136.715,1.446719577
2,13,145.461,1.539269841
2,13,154.701,1.637047619
2,13,154.477,1.634677249
2,13,165.212,1.748275132
2,13,136.032,1.439492063
2,13,190.45,2.015343915
2,13,170.108,1.800084656
2,13,171.445,1.814232804
2,13,157.485,1.666507937
2,13,264.512,2.799068783
2,13,73.374,0.776444444
2,13,171.789,1.817873016
2,13,189.443,2.004687831
2,13,197.244,2.087238095
2,13,162.181,1.716201058
2,13,166.933,1.766486772
2,13,126.906,1.342920635
2,13,172.986,1.830539683
2,13,165.626,1.752656085
2,13,122.259,1.293746032
2,13,137.598,1.456063492
2,13,161.667,1.710761905
2,13,163.867,1.734042328
2,16,186.795,1.976666667
2,16,222.641,2.355989418
2,16,118.376,1.252656085
2,16,200.553,2.122253968
2,16,221.15,2.34021164
2,16,214.882,2.273883598
2,16,219.954,2.327555556
2,16,201.196,2.129058201
2,16,94.465,0.99962963
2,16,203.722,2.15578836
2,16,201.784,2.135280423
2,16,189.956,2.010116402
2,16,191.86,2.03026455
2,16,82.058,0.868338624
2,16,181.176,1.917206349
2,16,225.442,2.38562963
2,16,261.017,2.762084656
2,16,219.801,2.325936508
2,16,217.366,2.300169312
2,16,159.369,1.686444444
2,16,217.484,2.301417989
2,16,158.898,1.681460317
2,16,34.389,0.363904762
2,16,222.3,2.352380952
2,16,197.18,2.086560847
2,16,146.875,1.554232804
2,16,156.416,1.655195767
2,16,139.821,1.479587302
2,16,139.809,1.479460317
2,16,120.106,1.270962963
2,16,218.479,2.31194709
2,16,106.166,1.123449735
2,16,221.112,2.339809524
2,16,53.525,0.566402116
2,16,181.496,1.920592593
2,16,180.34,1.908359788
2,19,268.723,2.84362963
2,19,516.771,5.46847619
2,19,324.405,3.432857143
2,19,236.075,2.498148148
2,19,240.308,2.542941799
2,19,266.555,2.820687831
2,19,321.343,3.400455026
2,19,259.178,2.742624339
2,19,235.137,2.488222222
2,19,280.733,2.970719577
2,19,332.586,3.519428571
2,19,260.734,2.759089947
2,19,237.255,2.510634921
2,19,276.997,2.931185185
2,19,323.61,3.424444444
2,19,226.656,2.39847619
2,19,218.181,2.308793651
2,19,316.301,3.347100529
2,19,204.169,2.160518519
2,19,308.638,3.266010582
2,19,218.512,2.312296296
2,19,351.588,3.720507937
2,19,310.137,3.281873016
2,19,260.652,2.758222222
2,19,430.579,4.556391534
2,19,270.065,2.857830688
2,19,333.135,3.525238095
2,19,200.015,2.116560847
2,19,369.66,3.911746032
2,19,346.024,3.66162963
2,19,366.985,3.883439153
2,22,591.094,6.254962963
2,22,353.61,3.741904762
2,22,226.086,2.392444444
2,22,380.495,4.026402116
2,22,305.302,3.230708995
2,22,341.762,3.616529101
2,22,380.105,4.022275132
2,22,478.39,5.062328042
2,22,377.921,3.999164021
2,22,399.192,4.224253968
2,22,337.691,3.573449735
2,22,247.106,2.614878307
2,22,379.078,4.011407407
2,22,346.023,3.661619048
2,22,311.485,3.296137566
2,22,406.275,4.299206349
2,22,446.672,4.726687831
2,22,406.448,4.301037037
2,22,373.871,3.956306878
2,22,353.962,3.74562963
2,22,404.541,4.280857143
2,22,201.433,2.131566138
2,22,353.11,3.736613757
2,22,386.143,4.086169312
2,22,298.029,3.153746032
2,22,423.508,4.481566138
2,22,419.823,4.442571429
2,22,316.864,3.353058201
2,22,101.448,1.07352381
2,22,442.023,4.677492063
2,22,383.285,4.055925926
2,22,405.193,4.287756614
2,22,386.669,4.09173545
2,22,390.662,4.133989418
2,22,378.783,4.008285714
2,22,269.684,2.853798942
2,22,216.55,2.291534392
2,22,299.283,3.167015873
2,22,358.001,3.78837037
2,22,365.594,3.868719577
2,22,434.95,4.602645503
2,22,466.389,4.935333333
2,22,470.669,4.980624339
2,22,360.039,3.809936508
2,22,319.967,3.38589418
2,22,336.143,3.557068783
2,22,356.002,3.767216931
2,22,264.56,2.79957672
2,22,306.423,3.242571429
2,22,307.476,3.253714286
2,25,513.482,5.433671958
2,25,448.291,4.743820106
2,25,453.617,4.800179894
2,25,10.423,0.110296296
2,25,306.527,3.243671958
2,25,407.234,4.309354497
2,25,303.848,3.215322751
2,25,336.238,3.558074074
2,25,298.364,3.157291005
2,25,219.026,2.31773545
2,25,381.906,4.041333333
2,25,252.731,2.674402116
2,25,393.77,4.166878307
2,25,385.068,4.074793651
2,25,310.973,3.290719577
2,25,315.464,3.338243386
2,25,312.858,3.310666667
2,25,146.438,1.549608466
2,25,381.968,4.041989418
2,25,250.742,2.653354497
